,var1,var2,var3,var4,var5,resultado
147,1000,6.7,0.1016,39.6,0.00578076,134.515
148,500,6.7,0.1016,31.7,0.00592927,130.20600000000002
149,630,6.7,0.1016,31.7,0.00592927,132.116
150,400,8.9,0.1016,71.3,0.0103088,138.123
151,1250,8.9,0.1016,71.3,0.0103088,132.793
152,6300,8.9,0.1016,71.3,0.0103088,117.25299999999999
153,500,12.3,0.1016,71.3,0.033779199999999995,140.158
154,630,12.3,0.1016,71.3,0.033779199999999995,135.368
155,1000,12.3,0.1016,71.3,0.033779199999999995,127.928
156,1600,12.3,0.1016,71.3,0.033779199999999995,124.74799999999999
157,500,12.3,0.1016,55.5,0.0368233,133.774
158,6300,12.3,0.1016,55.5,0.0368233,110.124
159,400,12.3,0.1016,39.6,0.0408268,128.265
160,250,12.3,0.1016,31.7,0.0418756,125.85700000000001
161,315,12.3,0.1016,31.7,0.0418756,124.71700000000001
162,400,12.3,0.1016,31.7,0.0418756,123.20700000000001
163,1600,12.3,0.1016,31.7,0.0418756,114.477
164,3150,12.3,0.1016,31.7,0.0418756,110.307
165,4000,12.3,0.1016,31.7,0.0418756,108.40700000000001
166,5000,12.3,0.1016,31.7,0.0418756,107.147
167,630,15.6,0.1016,71.3,0.0437259,122.288
168,2000,15.6,0.1016,71.3,0.0437259,119.88799999999999
169,1250,15.6,0.1016,39.6,0.0528487,118.214
